Latitude,Temp,Humidity,Cloudiness,Wind Speed
35.03,75.97,73,20,10.29
-1.4,68.3,82,94,1.48
33.93,73.38,88,75,5.82
64.42,51.8,87,75,6.71
72.79,42.56,79,100,1.14
55.74,62.6,88,90,6.93
42.65,69.64,38,40,8.05
59.36,56.06,80,100,7.05
43.97,80.24,14,1,20.8
37.72,70.47,88,75,5.82
43.32,58.22,81,19,2.21
-22.28,71.8,60,71,3.36
50.68,48.32,96,100,21.56
-2.57,83.96,74,54,12.17
-34.58,52.34,100,90,6.93
-23.58,70.1,52,0,1.88
66.15,44.9,62,69,3.91
54.79,64.06,93,0,1.12
-46.19,46.0,87,84,10.0
68.22,57.2,41,75,2.24
62.45,66.09,45,40,2.24
-20.63,63.98,54,0,6.78
-42.88,49.44,75,20,8.05
-17.73,71.0,84,33,5.12
-22.97,68.12,69,100,7.0
-26.98,69.02,62,60,5.37
-38.31,55.52,73,100,7.45
71.98,57.86,66,96,7.52
70.47,44.6,81,1,13.87
-23.12,69.2,63,83,9.8
34.81,69.8,83,75,4.7
51.62,60.71,100,75,10.29
-53.16,44.28,70,75,10.29
45.36,75.72,50,1,5.82
15.34,74.06,94,64,1.79
47.66,57.29,67,20,6.93
22.08,86.83,55,40,17.22
18.62,82.52,82,72,1.16
13.22,84.2,74,75,16.11
-35.17,68.0,100,34,27.04
-42.78,49.42,75,20,8.05
-34.53,53.98,82,81,8.05
20.04,85.76,72,44,9.86
-33.64,41.0,68,0,10.51
65.61,44.6,70,100,12.75
-32.03,60.91,82,20,14.99
-19.55,77.0,50,75,9.17
62.26,59.13,82,0,11.41
-5.81,77.0,78,40,10.29
19.71,78.37,88,16,5.99
-18.9,49.04,32,0,13.87
30.04,79.23,88,1,3.36
60.47,50.3,84,100,16.04
78.22,41.0,86,75,2.24
-7.96,76.94,84,85,11.88
-6.22,80.18,81,81,7.96
37.14,69.8,83,0,3.36
45.55,76.03,41,5,8.05
-34.42,53.55,99,92,3.0
36.07,96.12,24,1,5.82
39.45,75.2,53,20,4.7
-24.83,46.88,50,0,3.4
47.83,47.06,57,0,3.11
58.81,55.4,82,75,6.93
-54.81,40.82,93,0,5.32
38.52,70.64,87,89,12.03
55.34,60.8,77,75,12.75
50.63,67.53,83,93,5.99
-33.69,55.34,88,100,15.3
39.95,67.14,93,90,13.87
-34.85,43.97,87,75,6.93
63.75,46.2,65,90,5.82
73.51,41.3,97,100,8.88
41.28,60.56,72,28,3.78
5.35,76.22,82,19,21.39
69.38,47.96,78,79,9.33
-45.58,45.39,61,0,3.44
10.62,69.56,96,100,10.18
70.62,51.2,82,95,10.2
20.71,87.89,74,75,3.36
-0.74,74.64,61,0,20.8
-9.43,78.8,94,75,6.93
-8.93,77.48,43,19,1.59
36.8,76.39,83,0,3.36
-37.83,42.8,100,90,8.05
-19.06,73.4,78,99,16.11
-16.48,78.56,68,3,7.72
48.94,69.39,56,0,3.36
77.48,34.46,77,100,4.41
69.44,46.4,87,90,10.29
-2.02,75.86,94,100,5.37
11.78,91.4,66,20,9.17
8.58,78.74,71,100,8.79
63.84,52.65,93,90,16.11
54.32,59.0,82,90,3.36
-2.08,71.72,92,98,1.61
31.35,78.8,83,0,2.46
-20.37,61.64,18,0,7.29
56.36,58.76,75,32,6.13
7.53,76.4,87,100,8.66
40.6,65.93,68,20,14.99
-33.59,64.0,83,46,3.0
57.82,57.5,89,91,2.21
-6.13,72.08,87,96,6.8
42.17,70.34,83,5,4.7
64.27,55.88,81,100,4.05
-8.15,81.8,79,100,14.05
62.16,51.8,100,100,13.87
-33.86,42.8,87,0,6.93
65.28,64.4,34,75,3.36
-20.21,67.86,73,40,11.41
69.22,42.8,52,38,6.93
37.17,88.03,58,0,15.01
-33.21,48.68,65,0,4.43
58.14,60.53,100,0,4.7
-3.48,52.82,86,51,0.31
-30.97,49.94,28,0,6.06
7.3,71.72,89,96,3.06
55.79,44.6,100,0,2.24
-20.41,67.66,73,40,11.41
-0.6,82.34,71,100,8.19
54.34,51.8,93,26,3.85
10.39,85.76,67,0,11.43
12.86,73.4,94,20,2.24
-2.54,74.96,94,73,0.38
62.23,51.8,100,100,13.87
-41.29,57.15,54,2,12.75
50.56,67.53,83,93,5.99
63.73,58.14,93,75,4.7
-21.44,43.1,12,31,9.86
-25.41,59.12,56,0,2.93
3.07,84.86,74,81,13.2
-42.48,46.4,93,90,11.41
26.33,84.2,28,0,4.7
46.84,76.14,38,1,13.87
17.01,78.8,94,90,5.82
27.63,73.34,88,83,3.11
-5.2,77.0,83,0,6.93
-46.43,44.18,59,49,17.54
-1.82,71.72,97,0,2.64
69.49,53.6,93,40,6.71
62.1,44.18,86,76,8.05
30.78,44.36,99,100,2.21
47.58,57.18,67,20,6.93
-33.93,56.68,76,75,2.24
43.74,73.0,61,6,13.0
-21.21,77.0,78,89,8.05
17.54,80.9,81,32,2.19
8.96,60.8,82,75,4.7
-20.74,68.84,39,0,0.4
-11.1,58.94,88,21,9.78
30.69,59.66,93,96,1.68
-43.53,53.11,66,55,16.11
50.7,64.4,63,20,17.22
23.99,77.0,41,75,6.93
8.0,73.99,94,100,5.01
13.07,84.2,74,75,16.11
-30.33,55.92,32,0,6.93
23.45,89.67,49,75,11.41
-13.87,83.26,70,40,8.05
1.74,79.82,82,100,9.33
57.45,60.69,100,93,5.82
15.74,88.5,62,40,10.29
42.96,71.42,64,40,6.4
65.95,55.4,54,0,2.24
54.28,66.42,82,0,3.36
51.88,51.02,94,0,4.34
62.65,62.72,65,88,5.39
-33.94,56.68,76,75,2.24
-46.28,46.0,80,97,15.01
43.26,71.22,68,20,16.11
24.63,87.8,22,0,3.36
60.91,56.42,81,100,7.45
50.34,66.09,64,0,1.12
51.81,62.36,69,0,6.29
-7.75,73.7,78,99,7.58
-38.55,53.01,85,100,1.99
6.8,80.47,78,40,4.7
43.66,62.17,67,1,6.93
42.04,73.44,53,1,9.17
-51.62,42.8,60,0,18.34
66.32,59.66,63,89,7.72
6.6,77.0,94,75,11.41
21.39,86.47,54,40,13.87
-33.02,54.44,85,1,5.82
17.32,80.9,81,32,2.19
35.73,73.92,78,75,5.82
46.45,64.16,76,0,2.1
51.06,63.1,87,0,2.24
35.77,55.34,93,99,5.79
70.24,51.19,93,75,8.05
54.05,65.42,64,0,3.06
18.69,88.46,44,25,3.69
-41.77,51.8,71,75,18.34
45.6,69.21,73,0,6.93
-41.87,46.4,93,90,11.41
49.12,64.7,65,0,8.41
41.33,74.05,53,90,9.17
20.84,76.58,95,99,1.21
6.12,77.0,100,90,10.29
37.67,70.0,85,17,2.82
31.8,74.89,78,0,4.7
-8.71,71.6,94,40,14.94
-17.01,57.68,85,64,10.92
27.97,75.32,80,84,8.03
36.37,66.5,51,27,6.53
29.03,84.5,46,0,1.68
39.62,72.73,49,1,5.82
-23.7,46.4,42,0,4.7
3.52,68.48,82,0,8.43
51.13,52.1,65,59,2.33
50.03,69.8,43,20,12.75
71.97,54.8,81,83,4.97
-20.34,67.73,73,40,11.41
-9.8,78.92,69,0,15.99
41.28,65.05,82,75,16.11
-18.65,73.4,69,75,8.05
41.42,66.32,74,99,7.31
-8.09,70.82,83,93,5.32
41.46,66.68,38,17,5.59
53.14,55.4,71,75,6.71
9.49,78.56,63,37,27.74
41.19,69.56,26,0,9.69
58.57,61.45,82,0,4.7
21.67,69.2,86,86,2.46
-15.19,67.04,81,51,0.27
-28.55,57.14,91,0,13.98
-30.17,61.1,79,21,22.66
68.75,60.92,75,100,8.72
51.71,57.32,74,81,0.85
34.57,65.06,90,100,3.15
33.3,87.8,40,0,2.24
40.81,64.4,72,40,2.24
33.72,74.24,58,20,4.5
68.05,44.72,89,100,15.48
38.9,84.15,65,40,10.29
59.2,50.48,93,100,4.34
-46.13,46.0,87,95,10.0
14.68,73.52,75,7,10.04
4.94,82.4,83,0,6.93
0.54,79.46,66,99,0.89
11.0,79.46,80,61,2.26
58.3,59.74,87,75,10.29
49.79,71.6,49,20,11.72
-9.01,68.66,95,8,4.14
55.5,58.04,85,0,6.93
5.21,77.0,94,75,5.82
67.86,51.8,76,76,10.29
44.5,73.44,41,20,10.29
8.88,77.0,88,75,8.05
54.9,56.06,65,18,6.35
